val,type,col1
600946: Barchůvek,KU,Barchůvek [Hradec Králové] (kód kú: 600946)
1926: PR Baroch,MZCHU,Baroch [PR] (kód ÚSOP: 1926)
651389: Barovice,KU,Barovice [Havlíčkův Brod] (kód kú: 651389)
752: NPP Barrandovské skály,MZCHU,Barrandovské skály [NPP] (kód ÚSOP: 752)
600954: Bartoňov,KU,Bartoňov [Šumperk] (kód kú: 600954)
600971: Bartošovice,KU,Bartošovice [Nový Jičín] (kód kú: 600971)
600989: Bartošovice v Orlických horách,KU,Bartošovice v Orlických horách [Rychnov nad Kněžnou] (kód kú: 600989)
2237: PR Bartošovický luh,MZCHU,Bartošovický luh [PR] (kód ÚSOP: 2237)
695734: Bartoušov,KU,Bartoušov [Havlíčkův Brod] (kód kú: 695734)
659631: Bartoušov u Jičíněvsi,KU,Bartoušov u Jičíněvsi [Jičín] (kód kú: 659631)
715085: Bartovice,KU,Bartovice [Ostrava-město] (kód kú: 715085)
787990: Bartultovice,KU,Bartultovice [Bruntál] (kód kú: 787990)
601047: Bařice,KU,Bařice [Kroměříž] (kód kú: 601047)
2243: PR Bařiny,MZCHU,Bařiny [PR] (kód ÚSOP: 2243)
601063: Baška,KU,Baška [Frýdek-Místek] (kód kú: 601063)
601101: Bašnice,KU,Bašnice [Jičín] (kód kú: 601101)
5988: PP Bašnov,MZCHU,Bašnov [PP] (kód ÚSOP: 5988)
601128: Bašť,KU,Bašť [Praha-východ] (kód kú: 601128)
546: PP Bašta,MZCHU,Bašta [PP] (kód ÚSOP: 546)
601144: Batelov,KU,Batelov [Jihlava] (kód kú: 601144)
601152: Batňovice,KU,Batňovice [Trutnov] (kód kú: 601152)
606812: Batouchovice,KU,Batouchovice [Třebíč] (kód kú: 606812)
5921: PP Bau,MZCHU,Bau [PP] (kód ÚSOP: 5921)
601179: Bavorov,KU,Bavorov [Strakonice] (kód kú: 601179)
639583: Bavorovice,KU,Bavorovice [České Budějovice] (kód kú: 639583)
1825: PP Bavorovská stráň,MZCHU,Bavorovská stráň [PP] (kód ÚSOP: 1825)
601209: Bavory,KU,Bavory [Břeclav] (kód kú: 601209)
601217: Bavoryně,KU,Bavoryně [Beroun] (kód kú: 601217)
612: PR Bayerova,MZCHU,Bayerova [PR] (kód ÚSOP: 612)
1659: PP Bázlerova pískovna,MZCHU,Bázlerova pískovna [PP] (kód ÚSOP: 1659)
2093: PR Bažantnice,MZCHU,Bažantnice [PR] (kód ÚSOP: 2093)
2084: PR Bažantnice u Loukova,MZCHU,Bažantnice u Loukova [PR] (kód ÚSOP: 2084)
968: PR Bažantnice u Pracejovic,MZCHU,Bažantnice u Pracejovic [PR] (kód ÚSOP: 968)
2407: PP Bažantnice v Satalicích,MZCHU,Bažantnice v Satalicích [PP] (kód ÚSOP: 2407)
2408: PR Bažantnice v Uhersku,MZCHU,Bažantnice v Uhersku [PR] (kód ÚSOP: 2408)
1934: PR Bažantník,MZCHU,Bažantník [PR] (kód ÚSOP: 1934)
680109: Bažantov,KU,Bažantov [Tachov] (kód kú: 680109)
5311: PR Bažantula,MZCHU,Bažantula [PR] (kód ÚSOP: 5311)
2209: PR Bažiny,MZCHU,Bažiny [PR] (kód ÚSOP: 2209)
CZ0525001: Bažiny,EVL,Bažiny (sitecode: CZ0525001)
671975: Bdeněves,KU,Bdeněves [Plzeň-sever] (kód kú: 671975)
601225: Bdín,KU,Bdín [Rakovník] (kód kú: 601225)
601462: Běchary,KU,Běchary [Jičín] (kód kú: 601462)
601471: Bechlín,KU,Bechlín [Litoměřice] (kód kú: 601471)
601501: Bechov,KU,Bechov [Mladá Boleslav] (kód kú: 601501)
601527: Běchovice,KU,Běchovice [Hlavní město Praha] (kód kú: 601527)
601543: Bechyně,KU,Bechyně [Tábor] (kód kú: 601543)
758825: Bechyňská Smoleč,KU,Bechyňská Smoleč [Tábor] (kód kú: 758825)
2409: PP Bečevná,MZCHU,Bečevná [PP] (kód ÚSOP: 2409)
797014: Bečice,KU,Bečice [České Budějovice] (kód kú: 797014)
691267: Bečice nad Lužnicí,KU,Bečice nad Lužnicí [Tábor] (kód kú: 691267)
602744: Bečkov,KU,Bečkov [Trutnov] (kód kú: 602744)
