val,type,col1
1520: PP Poskla,MZCHU,Poskla [PP] (kód ÚSOP: 1520)
726109: Posluchov,KU,Posluchov [Olomouc] (kód kú: 726109)
720038: Posobice,KU,Posobice [Klatovy] (kód kú: 720038)
726117: Postoloprty,KU,Postoloprty [Louny] (kód kú: 726117)
726141: Postoupky,KU,Postoupky [Kroměříž] (kód kú: 726141)
726168: Postřekov,KU,Postřekov [Domažlice] (kód kú: 726168)
1326: PR Postřekovské rybníky,MZCHU,Postřekovské rybníky [PR] (kód ÚSOP: 1326)
726176: Postřelmov,KU,Postřelmov [Šumperk] (kód kú: 726176)
726184: Postřelmůvek,KU,Postřelmůvek [Šumperk] (kód kú: 726184)
726192: Postřelná,KU,Postřelná [Liberec] (kód kú: 726192)
726206: Postřižín,KU,Postřižín [Mělník] (kód kú: 726206)
726273: Postupice,KU,Postupice [Benešov] (kód kú: 726273)
726320: Pošná,KU,Pošná [Pelhřimov] (kód kú: 726320)
726346: Poštorná,KU,Poštorná [Břeclav] (kód kú: 726346)
666807: Poštovice,KU,Poštovice [Kladno] (kód kú: 666807)
726371: Poteč,KU,Poteč [Zlín] (kód kú: 726371)
726419: Potěhy,KU,Potěhy [Kutná Hora] (kód kú: 726419)
603767: Potín,KU,Potín [Tachov] (kód kú: 603767)
726443: Potočiště,KU,Potočiště [Cheb] (kód kú: 726443)
623881: Potočná u Číměře,KU,Potočná u Číměře [Jindřichův Hradec] (kód kú: 623881)
780219: Potočná u Vernéřova,KU,Potočná u Vernéřova [Chomutov] (kód kú: 780219)
603864: Potok,KU,Potok [Plzeň-sever] (kód kú: 603864)
726460: Potštát,KU,Potštát [Přerov] (kód kú: 726460)
726508: Potštejn,KU,Potštejn [Rychnov nad Kněžnou] (kód kú: 726508)
726516: Potůčky,KU,Potůčky [Karlovy Vary] (kód kú: 726516)
637220: Potůčník,KU,Potůčník [Šumperk] (kód kú: 637220)
726532: Potvorov,KU,Potvorov [Plzeň-sever] (kód kú: 726532)
726559: Pouchov,KU,Pouchov [Hradec Králové] (kód kú: 726559)
663743: Poučník,KU,Poučník [Beroun] (kód kú: 663743)
3384: PR Poustka,MZCHU,Poustka [PR] (kód ÚSOP: 3384)
726613: Poustka u Františkových Lázní,KU,Poustka u Františkových Lázní [Cheb] (kód kú: 726613)
782564: Poustka u Frýdlantu,KU,Poustka u Frýdlantu [Liberec] (kód kú: 782564)
1607: PP Poušť,MZCHU,Poušť [PP] (kód ÚSOP: 1607)
660469: Poušť,KU,Poušť [Sokolov] (kód kú: 660469)
726621: Pouště,KU,Pouště [Příbram] (kód kú: 726621)
726702: Poutnov,KU,Poutnov [Cheb] (kód kú: 726702)
334: NPP Pouzdřanská step - Kolby,MZCHU,Pouzdřanská step - Kolby [NPP] (kód ÚSOP: 334)
CZ0624060: Pouzdřanská step - Kolby,EVL,Pouzdřanská step - Kolby (sitecode: CZ0624060)
726729: Pouzdřany,KU,Pouzdřany [Břeclav] (kód kú: 726729)
710784: Povel,KU,Povel [Olomouc] (kód kú: 710784)
769550: Povodí,KU,Povodí [Cheb] (kód kú: 769550)
726818: Povrly,KU,Povrly [Ústí nad Labem] (kód kú: 726818)
726842: Pozďatín,KU,Pozďatín [Třebíč] (kód kú: 726842)
750107: Pozďátky,KU,Pozďátky [Třebíč] (kód kú: 750107)
CZ0723754: Pozděchov - kostel,EVL,Pozděchov - kostel (sitecode: CZ0723754)
335: PP Pozděchov,MZCHU,Pozděchov [PP] (kód ÚSOP: 335)
CZ0723417: Pozděchov,EVL,Pozděchov (sitecode: CZ0723417)
726851: Pozděchov,KU,Pozděchov [Vsetín] (kód kú: 726851)
726869: Pozdeň,KU,Pozdeň [Kladno] (kód kú: 726869)
650340: Pozdyně,KU,Pozdyně [Příbram] (kód kú: 650340)
726885: Pozlovice,KU,Pozlovice [Zlín] (kód kú: 726885)
665380: Pozorka u Kladrub,KU,Pozorka u Kladrub [Tachov] (kód kú: 665380)
634522: Pozorka u Nejdku,KU,Pozorka u Nejdku [Karlovy Vary] (kód kú: 634522)
726907: Pozořice,KU,Pozořice [Brno-venkov] (kód kú: 726907)
705381: Pozov,KU,Pozov [Benešov] (kód kú: 705381)
750999: Pozovice,KU,Pozovice [Havlíčkův Brod] (kód kú: 750999)
742: NPP Požáry,MZCHU,Požáry [NPP] (kód ÚSOP: 742)
726915: Prace,KU,Prace [Brno-venkov] (kód kú: 726915)
726940: Pracejovice,KU,Pracejovice [Strakonice] (kód kú: 726940)
CZ0313820: Prachatice - kostel,EVL,Prachatice - kostel (sitecode: CZ0313820)
732630: Prachatice,KU,Prachatice [Prachatice] (kód kú: 732630)
CZ0513249: Prácheň - Zicht,EVL,Prácheň - Zicht (sitecode: CZ0513249)
732770: Prácheň,KU,Prácheň [Česká Lípa] (kód kú: 732770)
336: PR Prácheň,MZCHU,Prácheň [PR] (kód ÚSOP: 336)
732796: Prachomety,KU,Prachomety [Karlovy Vary] (kód kú: 732796)
1572: PP Prachomety,MZCHU,Prachomety [PP] (kód ÚSOP: 1572)
CZ0413007: Prachomety,EVL,Prachomety (sitecode: CZ0413007)
641286: Prachov,KU,Prachov [Jičín] (kód kú: 641286)
732800: Prachovice,KU,Prachovice [Chrudim] (kód kú: 732800)
624802: Prachovice u Dašic,KU,Prachovice u Dašic [Pardubice] (kód kú: 624802)
337: PR Prachovské skály,MZCHU,Prachovské skály [PR] (kód ÚSOP: 337)
726958: Prackovice nad Labem,KU,Prackovice nad Labem [Litoměřice] (kód kú: 726958)
726966: Práče,KU,Práče [Znojmo] (kód kú: 726966)
1307: NPR Praděd,MZCHU,Praděd [NPR] (kód ÚSOP: 1307)
CZ0714077: Praděd,EVL,Praděd (sitecode: CZ0714077)
726982: Prádlo,KU,Prádlo [Plzeň-jih] (kód kú: 726982)
CZ0113774: Praha - Letňany,EVL,Praha - Letňany (sitecode: CZ0113774)
CZ0113773: Praha - Petřín,EVL,Praha - Petřín (sitecode: CZ0113773)
732826: Prakšice,KU,Prakšice [Uherské Hradiště] (kód kú: 732826)
338: PR Prales Jizera,MZCHU,Prales Jizera [PR] (kód ÚSOP: 338)
3411: NPP Prameniště Blanice,MZCHU,Prameniště Blanice [NPP] (kód ÚSOP: 3411)
5597: PP Prameniště Blatovského potoka,MZCHU,Prameniště Blatovského potoka [PP] (kód ÚSOP: 5597)
5757: PR Prameniště Chomutovky,MZCHU,Prameniště Chomutovky [PR] (kód ÚSOP: 5757)
1544: PP Prameniště Hamerského potoka u Zvonkové,MZCHU,Prameniště Hamerského potoka u Zvonkové [PP] (kód ÚSOP: 1544)
1275: PP Prameniště Kateřinského potoka,MZCHU,Prameniště Kateřinského potoka [PP] (kód ÚSOP: 1275)
1559: PP Prameniště Pohořského potoka,MZCHU,Prameniště Pohořského potoka [PP] (kód ÚSOP: 1559)
1717: PR Prameniště,MZCHU,Prameniště [PR] (kód ÚSOP: 1717)
CZ0320013: Prameniště Přešínského potoka,EVL,Prameniště Přešínského potoka (sitecode: CZ0320013)
1619: PR Prameniště Teplé,MZCHU,Prameniště Teplé [PR] (kód ÚSOP: 1619)
CZ0412069: Pramenské pastviny,EVL,Pramenské pastviny (sitecode: CZ0412069)
732842: Prameny,KU,Prameny [Cheb] (kód kú: 732842)
1829: PP Prameny Javornice,MZCHU,Prameny Javornice [PP] (kód ÚSOP: 1829)
1824: PR Prameny Klíčavy,MZCHU,Prameny Klíčavy [PR] (kód ÚSOP: 1824)
CZ0214045: Prameny Klíčavy,EVL,Prameny Klíčavy (sitecode: CZ0214045)
1735: PP Prameny Pšovky,MZCHU,Prameny Pšovky [PP] (kód ÚSOP: 1735)
CZ0413008: Prameny Teplé,EVL,Prameny Teplé (sitecode: CZ0413008)
798363: Prameny u Žárové,KU,Prameny u Žárové [Šumperk] (kód kú: 798363)
1665: PP Prameny Zrzávky,MZCHU,Prameny Zrzávky [PP] (kód ÚSOP: 1665)
732851: Prapořiště,KU,Prapořiště [Domažlice] (kód kú: 732851)
732885: Prasek,KU,Prasek [Hradec Králové] (kód kú: 732885)
732907: Prasetín,KU,Prasetín [Tábor] (kód kú: 732907)
732915: Praskačka,KU,Praskačka [Hradec Králové] (kód kú: 732915)
773344: Prasklice,KU,Prasklice [Kroměříž] (kód kú: 773344)
732940: Praskolesy,KU,Praskolesy [Beroun] (kód kú: 732940)
700061: Praskolesy u Mrákotína,KU,Praskolesy u Mrákotína [Jihlava] (kód kú: 700061)
627054: Prášily,KU,Prášily [Klatovy] (kód kú: 627054)
732958: Prašný Újezd,KU,Prašný Újezd [Rokycany] (kód kú: 732958)
732974: Pravčice,KU,Pravčice [Kroměříž] (kód kú: 732974)
339: NPP Pravčická brána,MZCHU,Pravčická brána [NPP] (kód ÚSOP: 339)
732982: Pravětice,KU,Pravětice [Benešov] (kód kú: 732982)
608629: Pravětín,KU,Pravětín [Prachatice] (kód kú: 608629)
2121: PR Pravětínská Lada,MZCHU,Pravětínská Lada [PR] (kód ÚSOP: 2121)
732991: Pravice,KU,Pravice [Znojmo] (kód kú: 732991)
733008: Pravíkov,KU,Pravíkov [Pelhřimov] (kód kú: 733008)
733016: Pravlov,KU,Pravlov [Brno-venkov] (kód kú: 733016)
733032: Pravonín,KU,Pravonín [Benešov] (kód kú: 733032)
664286: Pravy,KU,Pravy [Pardubice] (kód kú: 664286)
733059: Pražmo,KU,Pražmo [Frýdek-Místek] (kód kú: 733059)
CZ0423660: Pražská pole,EVL,Pražská pole (sitecode: CZ0423660)
647101: Pražské Předměstí,KU,Pražské Předměstí [Hradec Králové] (kód kú: 647101)
1124: PP Pražský zlom,MZCHU,Pražský zlom [PP] (kód ÚSOP: 1124)
733067: Prchalov,KU,Prchalov [Nový Jičín] (kód kú: 733067)
746819: Prčice,KU,Prčice [Příbram] (kód kú: 746819)
794228: Prkenný Důl,KU,Prkenný Důl [Trutnov] (kód kú: 794228)
608050: Prklišov,KU,Prklišov [Svitavy] (kód kú: 608050)
2046: PP Prlov,MZCHU,Prlov [PP] (kód ÚSOP: 2046)
733083: Prlov,KU,Prlov [Vsetín] (kód kú: 733083)
733091: Probluz,KU,Probluz [Hradec Králové] (kód kú: 733091)
765155: Proboštov u Tašova,KU,Proboštov u Tašova [Ústí nad Labem] (kód kú: 765155)
733105: Proboštov u Teplic,KU,Proboštov u Teplic [Teplice] (kód kú: 733105)
672602: Probulov,KU,Probulov [Písek] (kód kú: 672602)
784818: Pročevily,KU,Pročevily [Příbram] (kód kú: 784818)
733121: Prodašice,KU,Prodašice [Mladá Boleslav] (kód kú: 733121)
1334: PP Profil Morávky,MZCHU,Profil Morávky [PP] (kód ÚSOP: 1334)
733130: Prohoř,KU,Prohoř [Karlovy Vary] (kód kú: 733130)
733148: Prokopov,KU,Prokopov [Znojmo] (kód kú: 733148)
661: PR Prokopské údolí,MZCHU,Prokopské údolí [PR] (kód ÚSOP: 661)
CZ0110050: Prokopské údolí,EVL,Prokopské údolí (sitecode: CZ0110050)
682535: Prorubky,KU,Prorubky [Rychnov nad Kněžnou] (kód kú: 682535)
613452: Proruby,KU,Proruby [Náchod] (kód kú: 613452)
681555: Proruby u Potštejna,KU,Proruby u Potštejna [Rychnov nad Kněžnou] (kód kú: 681555)
604950: Prosatín,KU,Prosatín [Brno-venkov] (kód kú: 604950)
340: PP Prosecké skály,MZCHU,Prosecké skály [PP] (kód ÚSOP: 340)
733211: Proseč nad Nisou,KU,Proseč nad Nisou [Jablonec nad Nisou] (kód kú: 733211)
733245: Proseč pod Ještědem,KU,Proseč pod Ještědem [Liberec] (kód kú: 733245)
733253: Proseč pod Křemešníkem,KU,Proseč pod Křemešníkem [Pelhřimov] (kód kú: 733253)
614106: Proseč u Březiny,KU,Proseč u Březiny [Brno-venkov] (kód kú: 614106)
733156: Proseč u Humpolce,KU,Proseč u Humpolce [Pelhřimov] (kód kú: 733156)
662399: Proseč u Kamene,KU,Proseč u Kamene [Havlíčkův Brod] (kód kú: 662399)
726338: Proseč u Pošné,KU,Proseč u Pošné [Pelhřimov] (kód kú: 726338)
746444: Proseč u Seče,KU,Proseč u Seče [Chrudim] (kód kú: 746444)
733181: Proseč u Skutče,KU,Proseč u Skutče [Chrudim] (kód kú: 733181)
733261: Prosečné,KU,Prosečné [Trutnov] (kód kú: 733261)
733202: Proseč-Obořiště,KU,Proseč-Obořiště [Pelhřimov] (kód kú: 733202)
731382: Prosek,KU,Prosek [Hlavní město Praha] (kód kú: 731382)
733288: Prosenice,KU,Prosenice [Přerov] (kód kú: 733288)
733342: Prosenická Lhota,KU,Prosenická Lhota [Příbram] (kód kú: 733342)
733296: Proseničky,KU,Proseničky [Přerov] (kód kú: 733296)
2049: PP Prosenka,MZCHU,Prosenka [PP] (kód ÚSOP: 2049)
766208: Prosetice,KU,Prosetice [Teplice] (kód kú: 766208)
733423: Prosetín u Bystřice nad Pernštejnem,KU,Prosetín u Bystřice nad Pernštejnem [Žďár nad Sázavou] (kód kú: 733423)
626953: Prosetín u Dobkovic,KU,Prosetín u Dobkovic [Děčín] (kód kú: 626953)
733393: Prosetín u Hlinska,KU,Prosetín u Hlinska [Chrudim] (kód kú: 733393)
733431: Prosíčka,KU,Prosíčka [Havlíčkův Brod] (kód kú: 733431)
1144: PP Prosička,MZCHU,Prosička [PP] (kód ÚSOP: 1144)
746452: Prosíčka u Seče,KU,Prosíčka u Seče [Chrudim] (kód kú: 746452)
733466: Prosiměřice,KU,Prosiměřice [Znojmo] (kód kú: 733466)
733474: Proskovice,KU,Proskovice [Ostrava-město] (kód kú: 733474)
733482: Prosmyky,KU,Prosmyky [Litoměřice] (kód kú: 733482)
733491: Prostějov,KU,Prostějov [Prostějov] (kód kú: 733491)
733709: Prostějovičky,KU,Prostějovičky [Prostějov] (kód kú: 733709)
733717: Prostiboř,KU,Prostiboř [Tachov] (kód kú: 733717)
759007: Prostředkovice,KU,Prostředkovice [Jihlava] (kód kú: 759007)
733750: Prostřední Bečva,KU,Prostřední Bečva [Vsetín] (kód kú: 733750)
642410: Prostřední Bludovice,KU,Prostřední Bludovice [Karviná] (kód kú: 642410)
678911: Prostřední Lánov,KU,Prostřední Lánov [Trutnov] (kód kú: 678911)
733784: Prostřední Lhota,KU,Prostřední Lhota [Příbram] (kód kú: 733784)
643335: Prostřední Libchavy,KU,Prostřední Libchavy [Ústí nad Orlicí] (kód kú: 643335)
733806: Prostřední Lipka,KU,Prostřední Lipka [Ústí nad Orlicí] (kód kú: 733806)
679348: Prostřední Nová Ves,KU,Prostřední Nová Ves [Jičín] (kód kú: 679348)
643645: Prostřední Olešnice,KU,Prostřední Olešnice [Trutnov] (kód kú: 643645)
733814: Prostřední Poříčí,KU,Prostřední Poříčí [Blansko] (kód kú: 733814)
741043: Prostřední Rokytnice,KU,Prostřední Rokytnice [Rychnov nad Kněžnou] (kód kú: 741043)
754161: Prostřední Staré Buky,KU,Prostřední Staré Buky [Trutnov] (kód kú: 754161)
637742: Prostřední Suchá,KU,Prostřední Suchá [Karviná] (kód kú: 637742)
630284: Prostřední Svince,KU,Prostřední Svince [Český Krumlov] (kód kú: 630284)
777820: Prostřední Svince-Holkov,KU,Prostřední Svince-Holkov [Český Krumlov] (kód kú: 777820)
606146: Prostřední Ves,KU,Prostřední Ves [Kutná Hora] (kód kú: 606146)
670561: Prostřední Vydří,KU,Prostřední Vydří [Jindřichův Hradec] (kód kú: 670561)
625302: Prostřední Žleb,KU,Prostřední Žleb [Děčín] (kód kú: 625302)
723011: Prostý,KU,Prostý [Pelhřimov] (kód kú: 723011)
5718: PP Protivanov,MZCHU,Protivanov [PP] (kód ÚSOP: 5718)
733822: Protivanov,KU,Protivanov [Prostějov] (kód kú: 733822)
CZ0713388: Protivanov,EVL,Protivanov (sitecode: CZ0713388)
757110: Protivec,KU,Protivec [Prachatice] (kód kú: 757110)
733831: Protivec u Žlutic,KU,Protivec u Žlutic [Karlovy Vary] (kód kú: 733831)
733857: Protivín,KU,Protivín [Písek] (kód kú: 733857)
5926: PP Protržený rybník,MZCHU,Protržený rybník [PP] (kód ÚSOP: 5926)
724106: Proudkovice,KU,Proudkovice [Příbram] (kód kú: 724106)
2124: PP Provázková louka,MZCHU,Provázková louka [PP] (kód ÚSOP: 2124)
733865: Provodín,KU,Provodín [Česká Lípa] (kód kú: 733865)
341: PP Provodínské kameny,MZCHU,Provodínské kameny [PP] (kód ÚSOP: 341)
733938: Provodov na Moravě,KU,Provodov na Moravě [Zlín] (kód kú: 733938)
733881: Provodov,KU,Provodov [Náchod] (kód kú: 733881)
733946: Provodovice,KU,Provodovice [Přerov] (kód kú: 733946)
776157: Provoz,KU,Provoz [Rychnov nad Kněžnou] (kód kú: 776157)
720364: Prstná,KU,Prstná [Karviná] (kód kú: 720364)
733954: Prštice,KU,Prštice [Brno-venkov] (kód kú: 733954)
636142: Prštné,KU,Prštné [Zlín] (kód kú: 636142)
1013: PR Průchodnice,MZCHU,Průchodnice [PR] (kód ÚSOP: 1013)
703320: Prudice,KU,Prudice [Tábor] (kód kú: 703320)
CZ0623329: Prudká,EVL,Prudká (sitecode: CZ0623329)
733971: Průhonice,KU,Průhonice [Praha-západ] (kód kú: 733971)
CZ0323163: Průhonský rybník,EVL,Průhonský rybník (sitecode: CZ0323163)
877: PP Průkopa,MZCHU,Průkopa [PP] (kód ÚSOP: 877)
CZ0510191: Průlom Jizery u Rakous,EVL,Průlom Jizery u Rakous (sitecode: CZ0510191)
661864: Prunéřov,KU,Prunéřov [Chomutov] (kód kú: 661864)
708127: Prusice,KU,Prusice [Praha-východ] (kód kú: 708127)
718599: Prusínky,KU,Prusínky [Přerov] (kód kú: 718599)
733997: Prusinovice,KU,Prusinovice [Kroměříž] (kód kú: 733997)
602612: Prusy,KU,Prusy [Přerov] (kód kú: 602612)
734021: Prušánky,KU,Prušánky [Hodonín] (kód kú: 734021)
565: PP Prutník,MZCHU,Prutník [PP] (kód ÚSOP: 565)
734055: Pržno,KU,Pržno [Frýdek-Místek] (kód kú: 734055)
734063: Pržno u Vsetína,KU,Pržno u Vsetína [Vsetín] (kód kú: 734063)
734098: Přáslavice,KU,Přáslavice [Pelhřimov] (kód kú: 734098)
734110: Přáslavice u Olomouce,KU,Přáslavice u Olomouce [Olomouc] (kód kú: 734110)
734128: Přeborov,KU,Přeborov [Písek] (kód kú: 734128)
790605: Přebozy,KU,Přebozy [Kolín] (kód kú: 790605)
665304: Přebudov,KU,Přebudov [Plzeň-jih] (kód kú: 665304)
734136: Přebuz,KU,Přebuz [Sokolov] (kód kú: 734136)
1542: PP Přebuzské vřesoviště,MZCHU,Přebuzské vřesoviště [PP] (kód ÚSOP: 1542)
646181: Přechovice,KU,Přechovice [Strakonice] (kód kú: 646181)
734161: Přeckov,KU,Přeckov [Třebíč] (kód kú: 734161)
772607: Přečaply,KU,Přečaply [Chomutov] (kód kú: 772607)
734179: Přečín,KU,Přečín [Prachatice] (kód kú: 734179)
734195: Přečkovice,KU,Přečkovice [Uherské Hradiště] (kód kú: 734195)
734209: Předboj,KU,Předboj [Praha-východ] (kód kú: 734209)
688720: Předboř nad Jihlavou,KU,Předboř nad Jihlavou [Jihlava] (kód kú: 688720)
653616: Předboř u Choustníku,KU,Předboř u Choustníku [Tábor] (kód kú: 653616)
690660: Předboř u Malče,KU,Předboř u Malče [Havlíčkův Brod] (kód kú: 690660)
734225: Předboř u Prahy,KU,Předboř u Prahy [Praha-východ] (kód kú: 734225)
620297: Předbořice,KU,Předbořice [Kutná Hora] (kód kú: 620297)
789895: Předbořice u Zahořan,KU,Předbořice u Zahořan [Písek] (kód kú: 789895)
628093: Předčice,KU,Předčice [České Budějovice] (kód kú: 628093)
704091: Předenice,KU,Předenice [Plzeň-jih] (kód kú: 704091)
624276: Předenice u Čkyně,KU,Předenice u Čkyně [Prachatice] (kód kú: 624276)
722791: Předhradí,KU,Předhradí [Kolín] (kód kú: 722791)
734241: Předhradí u Skutče,KU,Předhradí u Skutče [Chrudim] (kód kú: 734241)
734268: Předín,KU,Předín [Třebíč] (kód kú: 734268)
767492: Předklášteří,KU,Předklášteří [Brno-venkov] (kód kú: 767492)
782572: Předlánce,KU,Předlánce [Liberec] (kód kú: 782572)
775002: Předlice,KU,Předlice [Ústí nad Labem] (kód kú: 775002)
734284: Předměřice nad Jizerou,KU,Předměřice nad Jizerou [Mladá Boleslav] (kód kú: 734284)
734292: Předměřice nad Labem,KU,Předměřice nad Labem [Hradec Králové] (kód kú: 734292)
734322: Předměstí,KU,Předměstí [Svitavy] (kód kú: 734322)
930521: Předměstí u Města Libavá,KU,Předměstí u Města Libavá [Olomouc] (kód kú: 930521)
734349: Předmíř,KU,Předmíř [Strakonice] (kód kú: 734349)
734977: Předmostí,KU,Předmostí [Přerov] (kód kú: 734977)
734357: Přední Arnoštov,KU,Přední Arnoštov [Svitavy] (kód kú: 734357)
694631: Přední Chlum,KU,Přední Chlum [Příbram] (kód kú: 694631)
734373: Přední Kopanina,KU,Přední Kopanina [Hlavní město Praha] (kód kú: 734373)
5973: PP Přední kopaniny,MZCHU,Přední kopaniny [PP] (kód ÚSOP: 5973)
CZ0620014: Přední kopaniny,EVL,Přední kopaniny (sitecode: CZ0620014)
CZ0624114: Přední kout,EVL,Přední kout (sitecode: CZ0624114)
763063: Přední Labská,KU,Přední Labská [Trutnov] (kód kú: 763063)
734381: Přední Lhota u Poděbrad,KU,Přední Lhota u Poděbrad [Nymburk] (kód kú: 734381)
765392: Přední Lhota u Těchlovic,KU,Přední Lhota u Těchlovic [Děčín] (kód kú: 765392)
614319: Přední Poříčí,KU,Přední Poříčí [Příbram] (kód kú: 614319)
755931: Přední Ptákovice,KU,Přední Ptákovice [Strakonice] (kód kú: 755931)
828: PP Přední skála,MZCHU,Přední skála [PP] (kód ÚSOP: 828)
734390: Přední Výtoň,KU,Přední Výtoň [Český Krumlov] (kód kú: 734390)
757161: Přední Zborovice,KU,Přední Zborovice [Strakonice] (kód kú: 757161)
795658: Přední Ždírnice,KU,Přední Ždírnice [Trutnov] (kód kú: 795658)
601497: Předonín,KU,Předonín [Litoměřice] (kód kú: 601497)
CZ0323641: Předslav - kostel,EVL,Předslav - kostel (sitecode: CZ0323641)
734446: Předslav,KU,Předslav [Klatovy] (kód kú: 734446)
734471: Předslavice,KU,Předslavice [Strakonice] (kód kú: 734471)
342: PP Přehon,MZCHU,Přehon [PP] (kód ÚSOP: 342)
734519: Přehořov u Soběslavi,KU,Přehořov u Soběslavi [Tábor] (kód kú: 734519)
796883: Přehořov u Žihle,KU,Přehořov u Žihle [Plzeň-sever] (kód kú: 796883)
771376: Přehvozdí,KU,Přehvozdí [Kolín] (kód kú: 771376)
734535: Přehýšov,KU,Přehýšov [Plzeň-sever] (kód kú: 734535)
734551: Přelíc,KU,Přelíc [Kladno] (kód kú: 734551)
734560: Přelouč,KU,Přelouč [Pardubice] (kód kú: 734560)
734641: Přelovice,KU,Přelovice [Pardubice] (kód kú: 734641)
687090: Přemyslov,KU,Přemyslov [Šumperk] (kód kú: 687090)
734659: Přemyslovice,KU,Přemyslovice [Prostějov] (kód kú: 734659)
2129: PR Přemyslovské sedlo,MZCHU,Přemyslovské sedlo [PR] (kód ÚSOP: 2129)
792403: Přemyšlení,KU,Přemyšlení [Praha-východ] (kód kú: 792403)
2204: PR Přemyšov,MZCHU,Přemyšov [PR] (kód ÚSOP: 2204)
734675: Přepeře,KU,Přepeře [Mladá Boleslav] (kód kú: 734675)
734683: Přepeře u Turnova,KU,Přepeře u Turnova [Semily] (kód kú: 734683)
734691: Přepychy,KU,Přepychy [Pardubice] (kód kú: 734691)
734705: Přepychy u Opočna,KU,Přepychy u Opočna [Rychnov nad Kněžnou] (kód kú: 734705)
735035: Přerov nad Labem,KU,Přerov nad Labem [Nymburk] (kód kú: 735035)
734713: Přerov,KU,Přerov [Přerov] (kód kú: 734713)
765406: Přerov u Těchlovic,KU,Přerov u Těchlovic [Děčín] (kód kú: 765406)
735051: Přerubenice,KU,Přerubenice [Rakovník] (kód kú: 735051)
641405: Přes,KU,Přes [Domažlice] (kód kú: 641405)
735060: Přeseka,KU,Přeseka [Jindřichův Hradec] (kód kú: 735060)
765244: Přeskače,KU,Přeskače [Znojmo] (kód kú: 765244)
650731: Přeskaky,KU,Přeskaky [Chomutov] (kód kú: 650731)
1398: PP Přesličkový rybník,MZCHU,Přesličkový rybník [PP] (kód ÚSOP: 1398)
763209: Přestání,KU,Přestání [Karlovy Vary] (kód kú: 763209)
639125: Přestanice,KU,Přestanice [Klatovy] (kód kú: 639125)
735078: Přestanov,KU,Přestanov [Ústí nad Labem] (kód kú: 735078)
5731: PP Přestavlcký les,MZCHU,Přestavlcký les [PP] (kód ÚSOP: 5731)
CZ0710148: Přestavlcký les,EVL,Přestavlcký les (sitecode: CZ0710148)
759261: Přestavlky,KU,Přestavlky [Olomouc] (kód kú: 759261)
735159: Přestavlky u Chrudimi,KU,Přestavlky u Chrudimi [Chrudim] (kód kú: 735159)
735191: Přestavlky u Čerčan,KU,Přestavlky u Čerčan [Benešov] (kód kú: 735191)
626813: Přestavlky u Dnešic,KU,Přestavlky u Dnešic [Plzeň-jih] (kód kú: 626813)
735167: Přestavlky u Přerova,KU,Přestavlky u Přerova [Přerov] (kód kú: 735167)
735141: Přestavlky u Roudnice nad Labem,KU,Přestavlky u Roudnice nad Labem [Litoměřice] (kód kú: 735141)
735108: Přestavlky u Sedlce,KU,Přestavlky u Sedlce [Příbram] (kód kú: 735108)
749605: Přestavlky u Slap,KU,Přestavlky u Slap [Praha-západ] (kód kú: 749605)
727: PP Přesyp u Malolánského,MZCHU,Přesyp u Malolánského [PP] (kód ÚSOP: 727)
724: PR Přesypy u Rokytna,MZCHU,Přesypy u Rokytna [PR] (kód ÚSOP: 724)
796247: Přešín,KU,Přešín [Plzeň-jih] (kód kú: 796247)
CZ0323161: Přešínský potok,EVL,Přešínský potok (sitecode: CZ0323161)
735205: Přešovice,KU,Přešovice [Třebíč] (kód kú: 735205)
735230: Přeštěnice,KU,Přeštěnice [Písek] (kód kú: 735230)
CZ0323162: Přeštice - V Hlinkách,EVL,Přeštice - V Hlinkách (sitecode: CZ0323162)
735256: Přeštice,KU,Přeštice [Plzeň-jih] (kód kú: 735256)
735264: Přešťovice,KU,Přešťovice [Strakonice] (kód kú: 735264)
675857: Přetín,KU,Přetín [Klatovy] (kód kú: 675857)
735299: Převýšov,KU,Převýšov [Hradec Králové] (kód kú: 735299)
735302: Přezletice,KU,Přezletice [Praha-východ] (kód kú: 735302)
680842: Přibenice,KU,Přibenice [Louny] (kód kú: 680842)
735311: Přibice,KU,Přibice [Brno-venkov] (kód kú: 735311)
735329: Příbor,KU,Příbor [Nový Jičín] (kód kú: 735329)
735639: Příbram na Moravě,KU,Příbram na Moravě [Brno-venkov] (kód kú: 735639)
780111: Příbram pod Bukovou horou,KU,Příbram pod Bukovou horou [Děčín] (kód kú: 780111)
735426: Příbram,KU,Příbram [Příbram] (kód kú: 735426)
735663: Příbraz,KU,Příbraz [Jindřichův Hradec] (kód kú: 735663)
735698: Přibyslav,KU,Přibyslav [Havlíčkův Brod] (kód kú: 735698)
735710: Přibyslav nad Metují,KU,Přibyslav nad Metují [Náchod] (kód kú: 735710)
776548: Přibyslav u Nové Paky,KU,Přibyslav u Nové Paky [Jičín] (kód kú: 776548)
735761: Přibyslavice,KU,Přibyslavice [Liberec] (kód kú: 735761)
735809: Přibyslavice nad Jihlavou,KU,Přibyslavice nad Jihlavou [Třebíč] (kód kú: 735809)
735787: Přibyslavice u Velké Bíteše,KU,Přibyslavice u Velké Bíteše [Brno-venkov] (kód kú: 735787)
783960: Přibyslavice u Vlkanče,KU,Přibyslavice u Vlkanče [Kutná Hora] (kód kú: 783960)
735817: Přibyšice,KU,Přibyšice [Benešov] (kód kú: 735817)
